TIME,CURRENCY,UNIT,STATINFO,Value
1976Q1,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1976Q1,German mark,National currency (former currencies of the euro area countries),Average,2.96109
1976Q1,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1976Q1,Spanish peseta,National currency (former currencies of the euro area countries),Average,73.4007
1976Q1,Finnish markka,National currency (former currencies of the euro area countries),Average,4.41592
1976Q1,French franc,National currency (former currencies of the euro area countries),Average,5.20636
1976Q1,Greek drachma,National currency (former currencies of the euro area countries),Average,
1976Q1,Irish pound,National currency (former currencies of the euro area countries),Average,0.575201
1976Q1,Italian lira,National currency (former currencies of the euro area countries),Average,881.065
1976Q1,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1976Q1,Luxembourg franc,National currency (former currencies of the euro area countries),Average,45.1102
1976Q1,Latvian lats,National currency (former currencies of the euro area countries),Average,
1976Q1,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1976Q1,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.07787
