GEO,TIME,UNIT,COICOP,Value
France,2016,Annual average rate of change,All-items HICP,0.3
Croatia,1996,Annual average rate of change,All-items HICP, 
Croatia,1997,Annual average rate of change,All-items HICP, 
Croatia,1998,Annual average rate of change,All-items HICP, 
Croatia,1999,Annual average rate of change,All-items HICP,3.7
Croatia,2000,Annual average rate of change,All-items HICP,4.5
Croatia,2001,Annual average rate of change,All-items HICP,4.3
Croatia,2002,Annual average rate of change,All-items HICP,2.5
Croatia,2003,Annual average rate of change,All-items HICP,2.4
Croatia,2004,Annual average rate of change,All-items HICP,2.1
Croatia,2005,Annual average rate of change,All-items HICP,3
Croatia,2006,Annual average rate of change,All-items HICP,3.3
Croatia,2007,Annual average rate of change,All-items HICP,2.7
Croatia,2008,Annual average rate of change,All-items HICP,5.8
Croatia,2009,Annual average rate of change,All-items HICP,2.2
Croatia,2010,Annual average rate of change,All-items HICP,1.1
Croatia,2011,Annual average rate of change,All-items HICP,2.2
Croatia,2012,Annual average rate of change,All-items HICP,3.4
Croatia,2013,Annual average rate of change,All-items HICP,2.3
Croatia,2014,Annual average rate of change,All-items HICP,0.2
Croatia,2015,Annual average rate of change,All-items HICP,-0.3
Croatia,2016,Annual average rate of change,All-items HICP,-0.6
Italy,1996,Annual average rate of change,All-items HICP,4
Italy,1997,Annual average rate of change,All-items HICP,1.9
Italy,1998,Annual average rate of change,All-items HICP,1.9
Italy,1999,Annual average rate of change,All-items HICP,1.6
Italy,2000,Annual average rate of change,All-items HICP,2.6
Italy,2001,Annual average rate of change,All-items HICP,2.3
Italy,2002,Annual average rate of change,All-items HICP,2.6
Italy,2003,Annual average rate of change,All-items HICP,2.8
Italy,2004,Annual average rate of change,All-items HICP,2.3
Italy,2005,Annual average rate of change,All-items HICP,2.2
Italy,2006,Annual average rate of change,All-items HICP,2.2
Italy,2007,Annual average rate of change,All-items HICP,2
Italy,2008,Annual average rate of change,All-items HICP,3.5
Italy,2009,Annual average rate of change,All-items HICP,0.8
Italy,2010,Annual average rate of change,All-items HICP,1.6
Italy,2011,Annual average rate of change,All-items HICP,2.9
Italy,2012,Annual average rate of change,All-items HICP,3.3
Italy,2013,Annual average rate of change,All-items HICP,1.2
Italy,2014,Annual average rate of change,All-items HICP,0.2
Italy,2015,Annual average rate of change,All-items HICP,0.1
Italy,2016,Annual average rate of change,All-items HICP,-0.1
Cyprus,1996,Annual average rate of change,All-items HICP, 
Cyprus,1997,Annual average rate of change,All-items HICP,3.3
Cyprus,1998,Annual average rate of change,All-items HICP,2.3
Cyprus,1999,Annual average rate of change,All-items HICP,1.1
Cyprus,2000,Annual average rate of change,All-items HICP,4.9
Cyprus,2001,Annual average rate of change,All-items HICP,2
Cyprus,2002,Annual average rate of change,All-items HICP,2.8
Cyprus,2003,Annual average rate of change,All-items HICP,4
Cyprus,2004,Annual average rate of change,All-items HICP,1.9
Cyprus,2005,Annual average rate of change,All-items HICP,2
Cyprus,2006,Annual average rate of change,All-items HICP,2.2
Cyprus,2007,Annual average rate of change,All-items HICP,2.2
Cyprus,2008,Annual average rate of change,All-items HICP,4.4
