year,gdp,export_volume,import_volume
1705,9947.7175078617,182.7076329956,179.6380912512
1706,8424.168120896,184.2376691779,156.8745240964
1707,9464.4933130617,190.3690355166,164.7105300982
1708,10074.1477497583,194.4566130757,181.3861684864
1709,8727.5924018265,194.9181137679,174.1291777064
1710,7934.8027579686,192.6765389774,154.8286703126
1711,8651.5009000787,196.5663305256,180.8843552942
1712,8643.5357873038,211.1857367612,201.4305329957
1713,8272.4989569635,227.190197884,224.3104969301
1714,9099.8085424725,263.8465385757,228.8654166751
1715,8844.4387462175,228.2120922738,217.7483244163
1716,9179.0098251822,232.3985628384,223.8858857675
1717,9696.5282419699,263.6157882296,245.0006408562
1718,10244.1061381468,209.6861359171,257.4301676178
1719,10063.6331675271,225.3112307802,207.1716463645
1720,10705.5176967729,227.816520252,235.0801800558
1721,10287.8727412509,237.3761774467,228.0547953645
1722,10397.5875298023,272.450230051,246.1972723146
1723,10147.8170721421,243.8042228018,251.1382022074
1724,10046.5018427599,250.5619115085,285.4159033387
1725,10308.6107545204,279.5705264444,273.8741999173
1726,9990.3964839979,253.5946303427,257.7775767509
1727,9929.7798614402,239.8155382482,262.4482995402
1728,10232.7793567032,287.0204661892,292.1710809265
1729,9664.1064010322,271.593157337,291.0902525125
1730,9885.3022203145,281.8121012349,300.3158950467
1731,9728.2619314285,259.1985673189,269.8982953942
1732,10374.6171907274,292.4266171546,273.6039928138
1733,10604.6204634024,291.3387940945,309.4643355513
1734,10566.3224451438,273.6039817814,273.9128009321
1735,10315.6450743848,307.5242826553,314.9842806659
1736,11082.4108133174,319.852944003,282.096216067
1737,10488.8561010897,332.3464270265,273.0635786067
1738,10684.8058815349,336.1043612341,287.1529490042
1739,10613.4130655253,291.5365801054,302.2073447713
1740,10435.1124077038,270.2086552605,258.7812031354
1741,10739.8093758963,315.4686874275,306.3376533536
1742,10987.0696648996,315.6335091033,265.0731685457
1743,10728.6653007901,372.8266305961,301.165117372
1744,10578.7013613408,302.975204404,245.6182570928
1745,10734.5513333163,299.0524485206,302.9021630375
1746,11071.7698727121,354.9269966073,239.5578977712
1747,11576.2809440901,322.2263761341,274.7234222426
1748,11452.4247167502,367.255657955,314.057856311
1749,11384.4853977566,417.9548054225,305.6428350874
1750,11549.5009452162,418.6140921256,300.0070869284
1751,11299.6169785847,409.3840782823,306.6078604571
1752,11856.1497063543,385.5178996306,304.5234056585
1753,11961.369932403,403.5823552952,332.9337525421
1754,11626.2368925215,388.5835827999,312.3980126752
1755,11978.6218210372,364.7503684833,338.6467027307
1756,11775.6844135936,386.3749723446,345.9422945255
1757,12453.9478103311,406.74693147,357.1751898287
1758,12627.1835442312,415.9439809781,324.8275394368
1759,12826.9339512333,459.7865467334,344.4368549488
1760,13199.6889175514,484.4109050937,379.5637784054
1761,13725.1234106653,490.2785567512,329.8070703443
1762,13343.3381288366,453.292572708,342.3910011651
1763,13299.52706619,483.5208680445,432.2927646051
1764,13293.8719690152,536.0330539455,401.1031446568
1765,13186.082560977,480.3892562049,423.8777433815
1766,13362.2338925835,464.2367319792,444.4134832484
1767,13454.2672961846,457.1164355859,466.0686525442
1768,13578.1868669426,498.4207475343,458.5414546606
1769,14345.4784407661,442.9747358046,459.6994851043
1770,13953.5234611075,470.3021696476,471.5885976588
1771,14214.1939938487,564.4812751837,494.9422116052
1772,13851.0929220753,532.6706917597,513.5865017476
1773,14098.0606785119,503.3020172564,452.9300273313
1774,13784.4555070771,531.2246390862,512.2894540343
1775,14224.8648948004,510.6655294207,523.9028513581
1776,14685.6159786831,462.5610170949,424.1818304676
1777,15110.437189086,418.4287932122,397.7058595254
1778,15005.0462646396,384.6539777782,373.7579708559
1779,14963.9748411273,356.3723993043,331.3303643207
1780,15647.6204935564,406.5133494481,361.2787600692
1781,16093.382112652,325.1221917186,394.5371838352
1782,15933.0403938573,388.1752575069,301.0534977514
1783,15851.0287192232,435.8620360586,401.6816235539
1784,15913.5629703165,458.0676562687,531.2598622932
1785,15802.6566606829,487.5922558245,559.763987704
1786,16079.0732552949,506.161529785,535.4415962227
1787,15811.3968750257,524.4961652595,619.1844211941
1788,15775.1824261819,531.9394684954,638.1409622603
1789,16128.2353528968,589.6302590055,640.5561133055
1790,17352.272795699,608.7084876533,684.0535095186
1791,17426.6056500165,689.0160574091,705.6674566134
1792,18126.9296582768,745.5783545393,729.1464746738
1793,17832.9944584958,573.2755770659,659.5662180649
1794,17255.8454544224,734.48217936,766.2606647319
1795,19130.1487031996,717.4828291259,775.3438974888
1796,19473.4538131785,874.2095066765,797.0381236674
1797,19332.1139459584,871.8486998097,702.5189393024
1798,19517.9207058245,940.2167165164,934.1223681313
1799,20030.8760881362,929.7698411822,939.9888552168
1800,21007.1785876876,1028.0472200804,1036.6367201216
1801,21196.0368147641,1014.3924455977,1079.4462947146
1802,21441.9180820402,1166.0736447921,1078.3881348709
1803,20993.0738527993,921.5422123481,998.9000570353
1804,20973.9470563471,955.6638552661,1005.5439043879
1805,22246.3689787643,923.5538644912,1036.3910094159
1806,22160.2227807782,1001.2405841507,1028.6032294237
1807,23607.7529605087,991.6041843335,1106.5098270305
1808,22508.0269584468,999.8302540317,811.6115242286
1809,23215.2480418414,1358.6251836409,952.94152209
1810,24711.2005476688,1309.9873895224,1270.3021074703
1811,24455.3596311785,908.1941290647,739.5952493292
1812,23448.4821521162,1203.8178711463,948.0222573064
1813,24721.6787318174,1611.8813570523,1109.9030803563
1814,24174.8373264164,1564.689753178,1109.2762655234
